ID,NOM,Coord X,Coord Y,Coord X Y,LAT,LONG
543,Circular acer inox. 60 L.,416712,4572552,"(416712, 4572552)",41.300125765703754,2.0051533265904595
544,Circular acer inox. 60 L.,416686,4572556,"(416686, 4572556)",41.30015910712165,2.0048422626915667
545,Circular acer inox. 60 L.,416683,4572538,"(416683, 4572538)",41.29999668203169,2.0048088985413886
546,Circular txapa pintada gris 60 L.,416650,4572508,"(416650, 4572508)",41.299723081660844,2.00441889198251
547,Circular txapa pintada gris 60 L.,416625,4572468,"(416625, 4572468)",41.299360242598226,2.0041258012896
548,Circular txapa pintada gris 60 L.,416673,4572473,"(416673, 4572473)",41.29941023293934,2.0046983705350727
549,Circular txapa pintada gris 60 L.,416610,4572457,"(416610, 4572457)",41.29925962208261,2.003948166908014
550,Circular acer inox. 60 L.,416552,4572408,"(416552, 4572408)",41.29881231213621,2.0032622059154725
551,Circular acer inox. 60 L.,416539,4572319,"(416539, 4572319)",41.298009397611,2.0031191574190808
552,Circular acer inox. 60 L.,416439,4572245,"(416439, 4572245)",41.29733257468871,2.001935064791664
553,Circular acer inox. 60 L.,416352,4572163,"(416352, 4572163)",41.296585036207254,2.000907346003018
554,Circular acer inox. 60 L.,416115,4571934,"(416115, 4571934)",41.29449797042487,1.998108592035399
555,Circular acer inox. 60 L.,416039,4571862,"(416039, 4571862)",41.29384160681121,1.9972109412153716
556,Circular acer inox. 60 L.,415864,4571694,"(415864, 4571694)",41.29231030823649,1.9951443560921867
557,Circular acer inox. 60 L.,415789,4571623,"(415789, 4571623)",41.291663032663955,1.9942585680179372
558,Circular acer inox. 60 L.,415710,4571547,"(415710, 4571547)",41.29097030074099,1.99332572486097
559,Circular acer inox. 60 L.,415628,4571466,"(415628, 4571466)",41.2902322158769,1.992357771132326
560,Circular acer inox. 60 L.,415637,4571453,"(415637, 4571453)",41.290116073548575,1.9924670423418749
561,Circular txapa pintada gris 60 L.,416145,4572929,"(416145, 4572929)",41.30346244692782,1.998329735421526
562,Circular txapa pintada gris 60 L.,416168,4572936,"(416168, 4572936)",41.30352788185092,1.9986034717380166
563,Circular txapa pintada gris 60 L.,416193,4572941,"(416193, 4572941)",41.30357551111793,1.9989013712077988
564,Circular txapa pintada gris 60 L.,416209,4572948,"(416209, 4572948)",41.30364021771097,1.9990915037330614
565,Circular txapa pintada gris 60 L.,416351,4573634,"(416351, 4573634)",41.30983333328233,2.0006931517280484
566,Circular acer inox. 60 L.,416341,4573630,"(416341, 4573630)",41.30979627064907,2.0005742550786176
567,Circular acer inox. 60 L.,416321,4573632,"(416321, 4573632)",41.30981220880944,2.0003350863133678
568,Circular acer inox. 60 L.,415575,4572909,"(415575, 4572909)",41.30322287401641,1.9915247168394736
569,Circular acer inox. 60 L.,415557,4572902,"(415557, 4572902)",41.303157945689925,1.9913107063800546
570,Circular acer inox. 60 L.,415535,4572839,"(415535, 4572839)",41.302588241805196,1.9910566972209245
571,Circular txapa pintada gris 60 L.,415613,4572845,"(415613, 4572845)",41.30265044207933,1.9919874449340964
572,Circular txapa pintada gris 60 L.,415803,4572912,"(415803, 4572912)",41.30327371953376,1.9942474093022018
573,Circular acer inox. 60 L.,415541,4572947,"(415541, 4572947)",41.30356155725928,1.991113364300346
574,Circular txapa pintada gris 60 L.,415482,4572960,"(415482, 4572960)",41.30367246130503,1.9904068914459594
575,Circular txapa pintada gris 60 L.,416583,4572924,"(416583, 4572924)",41.303462820693454,2.0035616870140767
576,Circular txapa pintada gris 60 L.,416580,4572934,"(416580, 4572934)",41.30355257448139,2.003524485223178
577,Circular txapa pintada gris 60 L.,416578,4572945,"(416578, 4572945)",41.30365143805426,2.0034990897729283
578,Circular txapa pintada gris 60 L.,416585,4572924,"(416585, 4572924)",41.30346302748019,2.0035855740845667
579,Circular txapa pintada gris 60 L.,416580,4572989,"(416580, 4572989)",41.304047926330725,2.0035169435909164
580,Pedreta formigó 50 L.,416537,4573019,"(416537, 4573019)",41.30431367082356,2.002999251235661
581,Pedreta formigó 50 L.,416510,4573012,"(416510, 4573012)",41.30424783233575,2.0026777323445457
582,Pedreta formigó 50 L.,416479,4573004,"(416479, 4573004)",41.304172572468474,2.002308576758414
583,Pedreta formigó 50 L.,416580,4573048,"(416580, 4573048)",41.30457930372031,2.003508853266909
584,Pedreta formigó 50 L.,416570,4573069,"(416570, 4573069)",41.3047674039408,2.0033865358787586
585,Pedreta formigó 50 L.,416601,4573044,"(416601, 4573044)",41.30454544930987,2.0037602201589366
586,Pedreta formigó 50 L.,416613,4573049,"(416613, 4573049)",41.30459172172073,2.003902859606451
587,Circular acer inox. 60 L.,416633,4573070,"(416633, 4573070)",41.30478292305194,2.0041388566351417
588,Circular acer inox. 60 L.,416615,4573140,"(416615, 4573140)",41.30541151052005,2.003914273597149
589,Pedreta formigó 50 L.,416657,4573068,"(416657, 4573068)",41.30476738999654,2.004425781330288
590,Pedreta formigó 50 L.,416688,4573081,"(416688, 4573081)",41.30488767512584,2.004794258074922
591,Pedreta formigó 50 L.,416701,4573079,"(416701, 4573079)",41.30487100472727,2.004949801333926
592,Pedreta formigó 50 L.,416728,4573114,"(416728, 4573114)",41.30518901612286,2.005267492875844
593,Pedreta formigó 50 L.,416699,4573179,"(416699, 4573179)",41.305771438088115,2.0049122201893397
594,Circular txapa pintada gris 60 L.,416732,4573136,"(416732, 4573136)",41.30538756979381,2.0053122569189257
595,Circular txapa pintada gris 60 L.,416739,4573144,"(416739, 4573144)",41.30546034348043,2.005394769205911
596,Circular acer inox. 60 L.,416810,4573187,"(416810, 4573187)",41.30585494343589,2.0062369062292427
597,Pedreta formigó 50 L.,416764,4573106,"(416764, 4573106)",41.305120680072015,2.0056985663649876
598,Pedreta formigó 50 L.,416812,4573141,"(416812, 4573141)",41.30544085519136,2.0062670847851383
599,Pedreta formigó 50 L.,416753,4573092,"(416753, 4573092)",41.30499345544561,2.005569099897729
600,Pedreta formigó 50 L.,416750,4573072,"(416750, 4573072)",41.30481301785086,2.0055360054085645
601,Pedreta formigó 50 L.,416785,4573061,"(416785, 4573061)",41.30471755840331,2.005955542745222
602,Pedreta formigó 50 L.,416736,4573034,"(416736, 4573034)",41.304469329796,2.005373993432286
603,Pedreta formigó 50 L.,416723,4573045,"(416723, 4573045)",41.30456705838784,2.005217219211557
604,Pedreta formigó 50 L.,416651,4573018,"(416651, 4573018)",41.30431645020913,2.0043609691240176
605,Pedreta formigó 50 L.,416655,4572995,"(416655, 4572995)",41.30410971627477,2.004411894903867
606,Pedreta formigó 50 L.,416715,4572908,"(416715, 4572908)",41.30333235555082,2.0051404245359357
607,Circular txapa pintada gris 60 L.,416724,4572895,"(416724, 4572895)",41.30321620133891,2.005249695636191
608,Pedreta formigó 50 L.,416737,4572895,"(416737, 4572895)",41.303217543080834,2.0054049610935105
609,Pedreta formigó 50 L.,416694,4572920,"(416694, 4572920)",41.30343826425613,2.0048879675261424
610,Pedreta formigó 50 L.,416733,4572966,"(416733, 4572966)",41.303856584850344,2.0053474695268276
611,Pedreta formigó 50 L.,416734,4572988,"(416734, 4572988)",41.30405482890486,2.005356402032211
612,Circular txapa pintada gris 60 L.,416621,4572920,"(416621, 4572920)",41.30343072319737,2.004016089599056
613,Circular txapa pintada gris 60 L.,416613,4572890,"(416613, 4572890)",41.30315970440389,2.003924653238926
614,Circular txapa pintada gris 60 L.,416673,4572845,"(416673, 4572845)",41.302760615479386,2.004647425510679
615,Circular txapa pintada gris 60 L.,416701,4572824,"(416701, 4572824)",41.302574372384726,2.0049847162352057
616,Semicircular  txapa pintada gris 40 L.,416701,4572806,"(416701, 4572806)",41.3024122571249,2.0049871806637145
617,Circular txapa pintada gris 60 L.,416723,4572810,"(416723, 4572810)",41.30245055382224,2.005249386845189
618,Circular acer inox. 60 L.,416739,4572805,"(416739, 4572805)",41.30240717311944,2.005441164808028
619,Circular acer inox. 60 L.,416760,4572833,"(416760, 4572833)",41.30266151933809,2.00568814431044
620,Circular acer inox. 60 L.,416774,4572781,"(416774, 4572781)",41.30219463052733,2.005862465068791
