ID,NOM,Fabricante,Coord X,Coord Y,Coord X Y,LAT,LONG
412,Neoromántico liviano de Santa_Cole,Santa_Cole,416473,4573514,"(416473, 4573514)",41.30876520991251,2.00216688419002
413,Neoromántico liviano de Santa_Cole,Santa_Cole,416472,4573511,"(416472, 4573511)",41.30873808720451,2.0021553516894466
414,Neoromántico liviano de Santa_Cole,Santa_Cole,416462,4573541,"(416462, 4573541)",41.309007243186464,2.0020317862760173
415,Neoromántico liviano de Santa_Cole,Santa_Cole,416463,4573549,"(416463, 4573549)",41.309079397830324,2.0020426320239575
416,Neoromántico liviano de Santa_Cole,Santa_Cole,416462,4573555,"(416462, 4573555)",41.3091333325751,2.002029863361789
417,Neoromántico liviano de Santa_Cole,Santa_Cole,416461,4573553,"(416461, 4573553)",41.30911521623981,2.0020181935034858
418,Neoromántico liviano de Santa_Cole,Santa_Cole,416465,4573549,"(416465, 4573549)",41.30907960495519,2.0020665211332918
419,Neoromántico liviano de Santa_Cole,Santa_Cole,416451,4573560,"(416451, 4573560)",41.30917722520603,2.0018977863087173
420,Neoromántico liviano de Santa_Cole,Santa_Cole,416448,4573560,"(416448, 4573560)",41.30917691446376,2.0018619525932015
421,Neoromántico liviano de Santa_Cole,Santa_Cole,416446,4573559,"(416446, 4573559)",41.30916770091184,2.0018382008278617
422,Neoromántico liviano de Santa_Cole,Santa_Cole,416447,4573553,"(416447, 4573553)",41.3091137661905,2.001850969654857
423,Neoromántico liviano de Santa_Cole,Santa_Cole,416446,4573554,"(416446, 4573554)",41.30912266899056,2.0018388877170565
424,Neoromántico liviano de Santa_Cole,Santa_Cole,416444,4573564,"(416444, 4573564)",41.30921252565985,2.0018136247808456
425,Neoromántico liviano de Santa_Cole,Santa_Cole,416443,4573566,"(416443, 4573566)",41.3092304348396,2.0018014054362103
426,Neoromántico liviano de Santa_Cole,Santa_Cole,416442,4573569,"(416442, 4573569)",41.30925735040188,2.0017890486996537
427,Neoromántico liviano de Santa_Cole,Santa_Cole,416439,4573557,"(416439, 4573557)",41.309148963018046,2.0017548636184226
428,Neoromántico liviano de Santa_Cole,Santa_Cole,416436,4573556,"(416436, 4573556)",41.30913964584753,2.0017191673142136
429,Neoromántico liviano de Santa_Cole,Santa_Cole,416437,4573556,"(416437, 4573556)",41.30913974944426,2.0017311118786676
430,Neoromántico liviano de Santa_Cole,Santa_Cole,416434,4573558,"(416434, 4573558)",41.30915745141805,2.001695003390313
431,Neoromántico liviano de Santa_Cole,Santa_Cole,416433,4573560,"(416433, 4573560)",41.30917536058514,2.0016827840240445
432,Neoromántico liviano de Santa_Cole,Santa_Cole,416432,4573562,"(416432, 4573562)",41.30919326975079,2.001670564651015
433,Neoromántico liviano de Santa_Cole,Santa_Cole,416431,4573565,"(416431, 4573565)",41.309220185298656,2.0016582078682386
434,Neoromántico liviano de Santa_Cole,Santa_Cole,416430,4573567,"(416430, 4573567)",41.30923809446139,2.0016459884799205
435,Neoromántico liviano de Santa_Cole,Santa_Cole,416428,4573566,"(416428, 4573566)",41.309228880865085,2.001622236723837
436,Neoromántico liviano de Santa_Cole,Santa_Cole,416426,4573565,"(416426, 4573565)",41.309219667263946,2.0015984849745143
437,Neoromántico liviano de Santa_Cole,Santa_Cole,416429,4573564,"(416429, 4573564)",41.30921097170491,2.0016344561168355
438,Neoromántico liviano de Santa_Cole,Santa_Cole,416430,4573562,"(416430, 4573562)",41.30919306254329,2.001646675503073
439,Neoromántico liviano de Santa_Cole,Santa_Cole,416431,4573560,"(416431, 4573560)",41.30917515338024,2.0016588948825507
440,Neoromántico liviano de Santa_Cole,Santa_Cole,416432,4573558,"(416432, 4573558)",41.309157244215776,2.001671114255268
441,Neoromántico liviano de Santa_Cole,Santa_Cole,416427,4573564,"(416427, 4573564)",41.30921076448985,2.0016105669626945
442,Neoromántico liviano de Santa_Cole,Santa_Cole,416430,4573557,"(416430, 4573557)",41.30914803062482,2.001647362524666
443,Neoromántico liviano de Santa_Cole,Santa_Cole,416435,4573535,"(416435, 4573535)",41.30895040818433,2.001710108049623
444,Neoromántico liviano de Santa_Cole,Santa_Cole,416433,4573534,"(416433, 4573534)",41.30894119460187,2.0016863563878724
445,Neoromántico liviano de Santa_Cole,Santa_Cole,416428,4573538,"(416428, 4573538)",41.30897670212048,2.0016260841236755
446,Neoromántico liviano de Santa_Cole,Santa_Cole,416430,4573539,"(416430, 4573539)",41.30898591571536,2.001649835789483
447,Neoromántico liviano de Santa_Cole,Santa_Cole,416426,4573536,"(416426, 4573536)",41.308958482136866,2.001602469874085
448,Neoromántico liviano de Santa_Cole,Santa_Cole,416441,4573525,"(416441, 4573525)",41.30886096590468,2.0017831490738796
449,Neoromántico liviano de Santa_Cole,Santa_Cole,416392,4573526,"(416392, 4573526)",41.30886489488272,2.001197730508241
450,Neoromántico liviano de Santa_Cole,Santa_Cole,416390,4573524,"(416390, 4573524)",41.30884667481267,2.001174116419398
451,Neoromántico liviano de Santa_Cole,Santa_Cole,416382,4573518,"(416382, 4573518)",41.308791807250394,2.0010793852344038
452,Neoromántico liviano de Santa_Cole,Santa_Cole,416380,4573517,"(416380, 4573517)",41.30878259353917,2.0010556337211707
453,Neoromántico liviano de Santa_Cole,Santa_Cole,416383,4573512,"(416383, 4573512)",41.30873787261599,2.0010921546056912
454,Neoromántico liviano de Santa_Cole,Santa_Cole,416385,4573513,"(416385, 4573513)",41.3087470863196,2.001115906108108
455,Neoromántico liviano de Santa_Cole,Santa_Cole,416394,4573519,"(416394, 4573519)",41.30880205750066,2.001222581761292
456,Neoromántico liviano de Santa_Cole,Santa_Cole,416396,4573521,"(416396, 4573521)",41.30882027756088,2.001246195847972
457,Neoromántico liviano de Santa_Cole,Santa_Cole,416388,4573522,"(416388, 4573522)",41.30882845473785,2.001150502343702
458,Neoromántico liviano de Santa_Cole,Santa_Cole,416378,4573516,"(416378, 4573516)",41.30877337982313,2.0010318822146975
459,Neoromántico liviano de Santa_Cole,Santa_Cole,416377,4573514,"(416377, 4573514)",41.308755263389365,2.001020212696923
460,Neoromántico liviano de Santa_Cole,Santa_Cole,416377,4573512,"(416377, 4573512)",41.3087372506241,2.0010204876739413
461,Neoromántico liviano de Santa_Cole,Santa_Cole,416373,4573458,"(416373, 4573458)",41.30825049126073,2.0009801343607116
462,Neoromántico liviano de Santa_Cole,Santa_Cole,416373,4573458,"(416373, 4573458)",41.30825049126073,2.0009801343607116
463,Neoromántico liviano de Santa_Cole,Santa_Cole,416370,4573458,"(416370, 4573458)",41.30825018023848,2.0009443011626304
464,Neoromántico liviano de Santa_Cole,Santa_Cole,416394,4573478,"(416394, 4573478)",41.30843279578116,2.0012282176077116
465,Neoromántico liviano de Santa_Cole,Santa_Cole,416389,4573476,"(416389, 4573476)",41.308414264764274,2.001168770373432
466,Neoromántico liviano de Santa_Cole,Santa_Cole,416389,4573476,"(416389, 4573476)",41.308414264764274,2.001168770373432
467,Neoromántico liviano de Santa_Cole,Santa_Cole,416391,4573477,"(416391, 4573477)",41.3084234784514,2.0011925217703928
468,Neoromántico liviano de Santa_Cole,Santa_Cole,416393,4573478,"(416393, 4573478)",41.30843269213367,2.0012162731741134
469,Neoromántico liviano de Santa_Cole,Santa_Cole,416409,4573482,"(416409, 4573482)",41.308470375881235,2.0014068343837073
470,Neoromántico liviano de Santa_Cole,Santa_Cole,416412,4573483,"(416412, 4573483)",41.308479693145074,2.00144253027831
471,Neoromántico liviano de Santa_Cole,Santa_Cole,416420,4573487,"(416420, 4573487)",41.30851654764093,2.0015375361596472
472,Neoromántico liviano de Santa_Cole,Santa_Cole,416423,4573488,"(416423, 4573488)",41.308525864864656,2.0015732320987216
473,Neoromántico liviano de Santa_Cole,Santa_Cole,416426,4573490,"(416426, 4573490)",41.30854418846198,2.0016087906416304
474,Neoromántico liviano de Santa_Cole,Santa_Cole,416398,4573486,"(416398, 4573486)",41.30850526142885,2.0012748957262
475,Neoromántico liviano de Santa_Cole,Santa_Cole,416386,4573480,"(416386, 4573480)",41.30844997933351,2.0011323871974818
476,Neoromántico liviano de Santa_Cole,Santa_Cole,416387,4573482,"(416387, 4573482)",41.308468095756574,2.001144056693771
477,Neoromántico liviano de Santa_Cole,Santa_Cole,416407,4573487,"(416407, 4573487)",41.308515200542104,2.0013822583143908
478,Neoromántico liviano de Santa_Cole,Santa_Cole,416409,4573494,"(416409, 4573494)",41.30857845248977,2.001405185171327
479,Neoromántico liviano de Santa_Cole,Santa_Cole,416412,4573494,"(416412, 4573494)",41.30857876337056,2.0014410185541784
480,Neoromántico liviano de Santa_Cole,Santa_Cole,416423,4573499,"(416423, 4573499)",41.30862493509329,2.0015717205699874
481,Neoromántico liviano de Santa_Cole,Santa_Cole,416427,4573494,"(416427, 4573494)",41.30858031760725,2.0016201854768605
482,Neoromántico liviano de Santa_Cole,Santa_Cole,416414,4573496,"(416414, 4573496)",41.308596983386444,2.00146463262322
483,Neoromántico clásico de Santa_Cole,Santa_Cole,416437,4573592,"(416437, 4573592)",41.30946397925783,2.00172616570474
484,Neoromántico clásico de Santa_Cole,Santa_Cole,416427,4573589,"(416427, 4573589)",41.309435924073526,2.0016071317049673
485,Neoromántico clásico de Santa_Cole,Santa_Cole,416417,4573583,"(416417, 4573583)",41.30938084961842,2.0014885100911943
486,Neoromántico clásico de Santa_Cole,Santa_Cole,416410,4573577,"(416410, 4573577)",41.30932608593913,2.0014057224702597
487,Neoromántico liviano de Santa_Cole,Santa_Cole,416092,4572466,"(416092, 4572466)",41.29928698017588,1.9977605795228315
488,Neoromántico liviano de Santa_Cole,Santa_Cole,416089,4572467,"(416089, 4572467)",41.29929567459487,1.9977246133702902
489,Neoromántico liviano de Santa_Cole,Santa_Cole,416084,4572473,"(416084, 4572473)",41.2993491929501,1.9976640721748984
490,Neoromántico liviano de Santa_Cole,Santa_Cole,416017,4572576,"(416017, 4572576)",41.30026987997472,1.9968496913160358
