X,Y,objectid,id,capacitat,residu,nom_barri,adress,streetview,globalid
416982.5646,4574402.1467,1258,451,3500,Cartró,El Torrent Ballester,"Carrer de Salvador Baroné, 113","http://maps.google.com/maps?layer=c&cbll=41.316687,2.008125&cbp=12,242.85,,0,-2",{603088C2-1BAA-498D-8352-7551BBF91359}
416979.3166,4574399.4445,1259,452,1800,Orgànic,El Torrent Ballester,"Carrer de Salvador Baroné, 113","http://maps.google.com/maps?layer=c&cbll=41.316687,2.008125&cbp=12,242.85,,0,-2",{D60AB166-B5C8-45ED-A2CC-403F5788324B}
416978.2981,4574398.5971,1260,453,3500,Rebuig,El Torrent Ballester,"Carrer de Salvador Baroné, 113","http://maps.google.com/maps?layer=c&cbll=41.316687,2.008125&cbp=12,242.85,,0,-2",{6D341D06-9876-476A-9E5C-1762EB4FEEE7}
416843.5952,4574407.8572,1261,454,3500,Rebuig,El Torrent Ballester,"Carrer del Canonge Doctor Auguet, 87","http://maps.google.com/maps?layer=c&cbll=41.316905,2.006785&cbp=12,242.85,,0,-2",{6246A65D-010D-4D27-9520-2D3A7CE77A1A}
416844.6008,4574408.7201,1262,455,1800,Orgànic,El Torrent Ballester,"Carrer del Canonge Doctor Auguet, 87","http://maps.google.com/maps?layer=c&cbll=41.316905,2.006785&cbp=12,242.85,,0,-2",{FC9D5283-F04E-4505-8FCB-88A52081FAA1}
416847.8072,4574411.4714,1263,456,3500,Cartró,El Torrent Ballester,"Carrer del Canonge Doctor Auguet, 87","http://maps.google.com/maps?layer=c&cbll=41.316905,2.006785&cbp=12,242.85,,0,-2",{AFFAF523-E437-4EB7-B5E0-00762668B081}
416921.2767,4574349.1667,1264,457,3500,Rebuig,El Torrent Ballester,"Carrer de Salvador Baroné, 121","http://maps.google.com/maps?layer=c&cbll=41.316303,2.007508&cbp=12,242.85,,0,-2",{870529AC-FF15-49A4-9A1F-597AF1245FFB}
416922.5736,4574350.2658,1265,458,3500,Rebuig,El Torrent Ballester,"Carrer de Salvador Baroné, 121","http://maps.google.com/maps?layer=c&cbll=41.316303,2.007508&cbp=12,242.85,,0,-2",{C3838F65-D5C8-4A85-A054-A52425FC84E4}
416923.5844,4574351.1225,1266,459,1800,Orgànic,El Torrent Ballester,"Carrer de Salvador Baroné, 121","http://maps.google.com/maps?layer=c&cbll=41.316303,2.007508&cbp=12,242.85,,0,-2",{371F1326-83AE-45CC-9240-7E272ECACB0B}
416926.8076,4574353.8542,1267,460,3500,Cartró,El Torrent Ballester,"Carrer de Salvador Baroné, 121","http://maps.google.com/maps?layer=c&cbll=41.316303,2.007508&cbp=12,242.85,,0,-2",{F7E10272-00AF-43FF-84FB-CB36A129237B}
417073.0596,4574475.0487,1268,462,3200,Cartró,El Torrent Ballester,"Carrer de Salvador Baroné, 105","http://maps.google.com/maps?layer=c&cbll=41.317361,2.009240&cbp=12,242.85,,0,-2",{898E4097-C072-4CF1-9E3A-131358B3238C}
418314.8887,4574259.2343,1269,1315,,Roba,Grup Sant Jordi,"Passeig de la Marina, 17","http://maps.google.com/maps?layer=c&cbll=41.315885,2.024106&cbp=12,242.85,,0,-2",{FD654ADA-6764-49CC-B5DA-498A0BA1129A}
416600.5123,4574109.7923,1270,415,1800,Orgànic,L'Alba-rosa-Can Guardiola,"Carrer del Lliri, 31","http://maps.google.com/maps?layer=c&cbll=41.314078,2.003594&cbp=12,242.85,,0,-2",{4769C728-6DF5-40DB-80F8-FE41567A410F}
416581.0211,4574066.5167,1271,416,1800,Orgànic,L'Alba-rosa-Can Guardiola,"Carrer dels Pensaments, 22","http://maps.google.com/maps?layer=c&cbll=41.313688,2.003579&cbp=12,242.85,,0,-2",{B0AADA1B-328A-41D7-B9D9-BD2E5992346D}
416582.0776,4574065.4503,1272,417,3200,Cartró,L'Alba-rosa-Can Guardiola,"Carrer dels Pensaments, 22","http://maps.google.com/maps?layer=c&cbll=41.313688,2.003579&cbp=12,242.85,,0,-2",{8AEDC1C4-0528-4571-8B74-AF5EFA7A47CA}
416779.4819,4574522.3842,1273,1455,,Roba,El Torrent Ballester,"Avinguda de Miramar, 15","http://maps.google.com/maps?layer=c&cbll=41.317317,2.005545&cbp=12,242.85,,0,-2",{D4001E87-6B92-41FB-8234-2C7D705A7B17}
416586.6489,4574060.4839,1274,418,3200,Rebuig,L'Alba-rosa-Can Guardiola,"Carrer dels Pensaments, 22","http://maps.google.com/maps?layer=c&cbll=41.313688,2.003579&cbp=12,242.85,,0,-2",{5C2A1BD4-C66E-4874-8D6C-AD8D4B8617E2}
416583.6014,4574063.7948,1275,419,2400,Vidre,L'Alba-rosa-Can Guardiola,"Carrer dels Pensaments, 22","http://maps.google.com/maps?layer=c&cbll=41.313688,2.003579&cbp=12,242.85,,0,-2",{7A8E2890-6F93-437D-9EE6-39C55646A1EC}
416585.1252,4574062.1393,1276,420,3200,Envasos,L'Alba-rosa-Can Guardiola,"Carrer dels Pensaments, 22","http://maps.google.com/maps?layer=c&cbll=41.313688,2.003579&cbp=12,242.85,,0,-2",{B9C88AE5-F85E-4202-8864-0D4500F7EB39}
416816.6256,4574282.353,1277,421,3500,Cartró,El Torrent Ballester,"Carrer de Josep Pallach , 19","http://maps.google.com/maps?layer=c&cbll=41.315737,2.006097&cbp=12,242.85,,0,-2",{A6FA7494-822F-4968-8090-2C7178D55174}
416814.6521,4574284.4779,1278,422,3500,Envasos,El Torrent Ballester,"Carrer de Josep Pallach , 19","http://maps.google.com/maps?layer=c&cbll=41.315737,2.006097&cbp=12,242.85,,0,-2",{1035FFA4-B2AC-4780-806D-CABE81053C60}
416813.7504,4574285.4487,1279,423,1800,Orgànic,El Torrent Ballester,"Carrer de Josep Pallach , 19","http://maps.google.com/maps?layer=c&cbll=41.315737,2.006097&cbp=12,242.85,,0,-2",{6E4A5157-40A8-418F-B167-A5BC7ED1027E}
416783.6718,4574530.3199,1280,428,3200,Rebuig,El Torrent Ballester,"Avinguda de Miramar, 15","http://maps.google.com/maps?layer=c&cbll=41.317317,2.005545&cbp=12,242.85,,0,-2",{30F852D8-2718-4984-B4F0-B7E851A22946}
416782.6726,4574528.304,1281,429,2400,Vidre,El Torrent Ballester,"Avinguda de Miramar, 15","http://maps.google.com/maps?layer=c&cbll=41.317317,2.005545&cbp=12,242.85,,0,-2",{4A809AA4-047B-4914-BE16-EB259AA40403}
416781.6733,4574526.2881,1282,430,3200,Envasos,El Torrent Ballester,"Avinguda de Miramar, 15","http://maps.google.com/maps?layer=c&cbll=41.317317,2.005545&cbp=12,242.85,,0,-2",{A72FDA51-CA40-4A43-8722-B24F6465F577}
416803.9803,4574592.4714,1283,431,3200,Cartró,El Torrent Ballester,"Avinguda de Miramar, 6","http://maps.google.com/maps?layer=c&cbll=41.318721,2.005876&cbp=12,242.85,,0,-2",{6EE3B6C1-E448-4AAD-A887-F9447EF524D0}
416802.8365,4574590.5338,1284,432,3200,Rebuig,El Torrent Ballester,"Avinguda de Miramar, 6","http://maps.google.com/maps?layer=c&cbll=41.318721,2.005876&cbp=12,242.85,,0,-2",{B80071C9-B337-437A-A21F-996E722BC7E5}
416805.1241,4574594.4089,1285,433,2400,Vidre,El Torrent Ballester,"Avinguda de Miramar, 6","http://maps.google.com/maps?layer=c&cbll=41.318721,2.005876&cbp=12,242.85,,0,-2",{C25005C2-F65E-4357-91D3-BDA81BE539EA}
416806.2679,4574596.3464,1286,434,3200,Envasos,El Torrent Ballester,"Avinguda de Miramar, 6","http://maps.google.com/maps?layer=c&cbll=41.318721,2.005876&cbp=12,242.85,,0,-2",{2A3624D9-96A5-4C1E-865E-6133AA7EE120}
416807.0733,4574597.6131,1287,435,1800,Orgànic,El Torrent Ballester,"Avinguda de Miramar, 6","http://maps.google.com/maps?layer=c&cbll=41.318721,2.005876&cbp=12,242.85,,0,-2",{64B72E99-08E4-4297-8F23-9DADE33AED37}
